month,country,count
2020-09,Japanese American,2
2020-10,Japanese American,4
2020-11,Japanese American,5
2020-12,Japanese American,2
2021-01,Japanese American,3
2021-01,Filipino American,2
2021-02,Filipino American,4
2021-02,Japanese American,1
2021-03,Filipino American,5
2021-04,Filipino American,9
2021-05,Filipino American,26
2021-06,Filipino American,43
2021-07,Filipino American,34
