,month_yr,variable,value
396,2017-12,Billboard Hot 100,15.0
399,2018-01,Billboard Hot 100,15.0
402,2018-02,Billboard Hot 100,7.0
405,2018-03,Billboard Hot 100,8.0
408,2018-04,Billboard Hot 100,10.0
411,2018-05,Billboard Hot 100,5.0
414,2018-06,Billboard Hot 100,9.0
417,2018-07,Billboard Hot 100,6.0
420,2018-08,Billboard Hot 100,5.0
423,2018-09,Billboard Hot 100,7.0
426,2018-10,Billboard Hot 100,5.0
429,2018-11,Billboard Hot 100,5.0
432,2018-12,Billboard Hot 100,3.0
435,2019-01,Billboard Hot 100,0.0
438,2019-02,Billboard Hot 100,0.0
441,2019-03,Billboard Hot 100,1.0
444,2019-04,Billboard Hot 100,6.0
447,2019-05,Billboard Hot 100,5.0
450,2019-06,Billboard Hot 100,3.0
453,2019-07,Billboard Hot 100,0.0
456,2019-08,Billboard Hot 100,0.0
459,2019-09,Billboard Hot 100,0.0
462,2019-10,Billboard Hot 100,4.0
465,2019-11,Billboard Hot 100,4.0
468,2019-12,Billboard Hot 100,6.0
471,2020-01,Billboard Hot 100,8.0
474,2020-02,Billboard Hot 100,5.0
477,2020-03,Billboard Hot 100,9.0
480,2020-04,Billboard Hot 100,4.0
483,2020-05,Billboard Hot 100,2.0
486,2020-06,Billboard Hot 100,0.0
489,2020-07,Billboard Hot 100,2.0
492,2020-08,Billboard Hot 100,3.0
496,2020-09,Billboard Hot 100,8.0
500,2020-10,Billboard Hot 100,9.0
504,2020-11,Billboard Hot 100,16.0
508,2020-12,Billboard Hot 100,8.0
512,2021-01,Billboard Hot 100,10.0
516,2021-02,Billboard Hot 100,15.0
520,2021-03,Billboard Hot 100,15.0
524,2021-04,Billboard Hot 100,13.0
528,2021-05,Billboard Hot 100,26.0
532,2021-06,Billboard Hot 100,50.0
536,2021-07,Billboard Hot 100,47.0
674,2020-09,Billboard Global 200,9.0
678,2020-10,Billboard Global 200,36.0
682,2020-11,Billboard Global 200,58.0
686,2020-12,Billboard Global 200,20.0
690,2021-01,Billboard Global 200,31.0
694,2021-02,Billboard Global 200,24.0
698,2021-03,Billboard Global 200,28.0
702,2021-04,Billboard Global 200,22.0
706,2021-05,Billboard Global 200,44.0
710,2021-06,Billboard Global 200,61.0
714,2021-07,Billboard Global 200,56.0
