month,country,count
2020-09,South Korean,4
2020-10,South Korean,5
2020-11,South Korean,11
2020-12,South Korean,6
2021-01,South Korean,4
2021-02,South Korean,5
2021-03,South Korean,5
2021-04,South Korean,2
2021-05,Filipino,2
2021-05,South Korean,1
2021-06,Filipino,4
2021-06,South Korean,4
2021-07,South Korean,6
2021-07,Filipino,4
