month,country,count
2020-09,Japanese American,4
2020-10,Japanese American,4
2020-11,Japanese American,4
2020-11,Filipino American,1
2020-12,Filipino American,1
2020-12,Japanese American,1
2021-01,Filipino American,6
2021-02,Filipino American,10
2021-03,Filipino American,10
2021-04,Filipino American,11
2021-05,Filipino American,23
2021-06,Filipino American,42
2021-07,Filipino American,37
