month,country,count,chartname
2020-11,Japanese,3,Spotify Top 200 US
2020-12,Japanese,4,Spotify Top 200 US
2020-12,South Korean,2,Spotify Top 200 US
2021-01,South Korean,5,Spotify Top 200 US
2021-01,Japanese,4,Spotify Top 200 US
2021-01,Filipino,3,Spotify Top 200 US
2021-02,Japanese,5,Spotify Top 200 US
2021-02,Filipino,4,Spotify Top 200 US
2021-02,South Korean,4,Spotify Top 200 US
2021-03,Japanese,2,Spotify Top 200 US
2021-03,South Korean,2,Spotify Top 200 US
2021-03,Filipino,1,Spotify Top 200 US
2021-05,South Korean,4,Spotify Top 200 US
2021-05,Filipino,3,Spotify Top 200 US
2021-05,Japanese,1,Spotify Top 200 US
2021-06,Filipino,4,Spotify Top 200 US
2021-06,South Korean,4,Spotify Top 200 US
2021-07,South Korean,7,Spotify Top 200 US
2021-07,Filipino,4,Spotify Top 200 US
2020-09,Japanese American,4,Spotify Top 200 US
2020-10,Japanese American,6,Spotify Top 200 US
2020-11,Japanese American,4,Spotify Top 200 US
2020-12,Japanese American,4,Spotify Top 200 US
2021-01,Filipino American,6,Spotify Top 200 US
2021-01,Japanese American,5,Spotify Top 200 US
2021-02,Filipino American,4,Spotify Top 200 US
2021-02,Japanese American,4,Spotify Top 200 US
2021-03,Filipino American,8,Spotify Top 200 US
2021-03,Japanese American,4,Spotify Top 200 US
2021-03,Korean American,4,Spotify Top 200 US
2021-04,Filipino American,20,Spotify Top 200 US
2021-04,Korean American,5,Spotify Top 200 US
2021-04,Japanese American,3,Spotify Top 200 US
2021-05,Filipino American,35,Spotify Top 200 US
2021-05,Korean American,4,Spotify Top 200 US
2021-05,Japanese American,1,Spotify Top 200 US
2021-06,Filipino American,48,Spotify Top 200 US
2021-06,Korean American,4,Spotify Top 200 US
2021-07,Filipino American,46,Spotify Top 200 US
2021-07,Korean American,4,Spotify Top 200 US
2021-07,Japanese American,1,Spotify Top 200 US
